	intercept	categorical
F0	-3.3414134832318148	-1.5616681240098278
F1	-0.5872517575629365	-2.2758222594779065
F2	-0.8008098733360989	0.46348951368183
F3	-0.37049396699042303	-2.0113822492895883
F4	-1.8338300679311015	-1.9451260612955314
F5	-1.8465223574559473	-1.669512597894272
F6	-0.7450817161604012	-2.3041631112179397
F7	-1.2889051600003483	1.1904409782931138
F8	-0.5034230132411561	-2.1229981127482627
F9	-1.2846941854915102	-1.2888550668858756
F10	0.976875474631266	-0.575717531131826
F11	-0.9373070179317488	-0.31093729637190826
F12	-1.0445465957405897	-0.1395491085231797
F13	-0.3485316512978417	-0.4615089020205787
F14	0.010640427656747331	-1.2038754260290607
F15	-1.2193765959292782	-0.4094870082431279
F16	-0.13140337418906867	-2.836655525452163
F17	-1.3420654618267354	-0.5512774805922205
F18	0.014696754543173984	-0.9018918958069111
F19	-1.3513111161304119	-0.046208561819474414
F20	-0.6529541544252935	-0.8548884931295921
F21	-1.6049016107211285	-1.280740391282609
F22	2.056491544834542	0.46602766645409255
F23	-0.08237861076605357	-1.9704002510888192
F24	-2.3970433349143443	-0.3276588211384729
F25	-0.291897887751966	-2.049141198627749
F26	-1.0741127284122616	-1.7862261149348673
F27	-0.3188072295928098	-0.39008982923465796
F28	-1.8484758536497492	-1.562624258934131
F29	0.005460158333425946	0.6423554832891625
F30	-0.44256669946431004	-1.752328100595365
F31	-4.149521562662872	0.7277429974285126
F32	-2.4279296801178676	-0.8688070209472368
F33	-1.2642527650138398	-2.2920289755500662
F34	-1.2351060277848236	-0.3931212449171335
F35	0.03860173817195234	-1.4812988318140745
F36	-1.565417216632825	-0.9309232885688451
F37	-0.5972513777513664	-0.27681305008133295
F38	0.24190009985923155	-1.6156233700064204
F39	-1.3379268780985671	-1.270725691850847
F40	-1.5282486905445385	-1.4296486665822474
F41	1.2312204731150276	-0.7537683177309759
F42	-0.35103363901801476	-0.8766788226476782
F43	-1.6512328091954132	-1.5138068366043704
F44	-1.065947514578994	-0.15610329341058682
F45	-0.7653242734454873	-0.9972044413048653
F46	0.8274398079392167	-3.3914465788077783
F47	-1.2478104264309864	0.030178822279571804
F48	-1.951766099252755	-1.1264821559097458
F49	0.4085895981620018	-1.4172309957573002
F50	-2.5538633135790665	-0.7390600616432053
F51	-1.2675854665533497	-1.6459738213185058
F52	-1.999048437150711	-1.2430290381509512
F53	-2.278166478746984	-0.9177102436248545
