	labels	effect_size	microbe_total	class_logits	intercept
S0	-1	1	100000	-1.565389154837129	1
S1	-1	1	100000	-0.5821523344910786	1
S2	-1	1	100000	-0.6297491835967508	1
S3	-1	1	100000	-0.025449325292768887	1
S4	-1	1	100000	-2.592046841466451	1
S5	-1	1	100000	-1.0831483409602567	1
S6	-1	1	100000	-0.3578676339503585	1
S7	-1	1	100000	-1.1195981564748276	1
S8	-1	1	100000	-0.5846472837678351	1
S9	-1	1	100000	-0.1453393254214561	1
S10	-1	1	100000	-1.537443536950347	1
S11	-1	1	100000	-0.5218145913988758	1
S12	-1	1	100000	0.7956924865340667	1
S13	-1	1	100000	-0.5212531614998335	1
S14	-1	1	100000	-0.11347666769562936	1
S15	-1	1	100000	0.9868880954348513	1
S16	-1	1	100000	-0.8266521599661376	1
S17	-1	1	100000	-1.7579447406248438	1
S18	-1	1	100000	0.3331667987981821	1
S19	-1	1	100000	0.37792549856681235	1
S20	-1	1	100000	-1.791062204145271	1
S21	-1	1	100000	-0.5980397843768147	1
S22	-1	1	100000	-0.5688770426908165	1
S23	-1	1	100000	-0.7093938274525161	1
S24	-1	1	100000	-1.2054212021531914	1
S25	-1	1	100000	0.48335165892323384	1
S26	-1	1	100000	-1.059516661304649	1
S27	-1	1	100000	-0.8234376435606136	1
S28	-1	1	100000	0.3355237567231679	1
S29	-1	1	100000	-2.018482953650239	1
S30	-1	1	100000	-0.6777362950362655	1
S31	-1	1	100000	-1.336673101978234	1
S32	-1	1	100000	-1.2326322651446304	1
S33	-1	1	100000	-1.691990580275151	1
S34	-1	1	100000	-1.3731421463125935	1
S35	-1	1	100000	-0.7595009215287295	1
S36	-1	1	100000	-0.6404480325495576	1
S37	-1	1	100000	-3.069872120760155	1
S38	-1	1	100000	0.28172024818891006	1
S39	-1	1	100000	-2.713360148684269	1
S40	-1	1	100000	-1.563770140742627	1
S41	-1	1	100000	-1.2343083873555594	1
S42	-1	1	100000	0.8115157078895889	1
S43	-1	1	100000	-1.3344848451033895	1
S44	-1	1	100000	-0.0840607614327038	1
S45	-1	1	100000	-1.3639671681266352	1
S46	-1	1	100000	-0.5648596451990242	1
S47	-1	1	100000	-1.8622706116169492	1
S48	-1	1	100000	-0.576013724577194	1
S49	-1	1	100000	-2.156917368480385	1
S50	1	1	100000	0.7080548515194517	1
S51	1	1	100000	0.5915051286699285	1
S52	1	1	100000	1.566219101037721	1
S53	1	1	100000	1.5323736265806687	1
S54	1	1	100000	0.42362669781373197	1
S55	1	1	100000	0.6549283367558043	1
S56	1	1	100000	0.45258160197683117	1
S57	1	1	100000	2.645165771849112	1
S58	1	1	100000	1.6793729310434444	1
S59	1	1	100000	1.4009887673909613	1
S60	1	1	100000	0.39513532806901575	1
S61	1	1	100000	0.6417814568909943	1
S62	1	1	100000	0.03384056766287413	1
S63	1	1	100000	0.4525759719398941	1
S64	1	1	100000	0.46988217961681666	1
S65	1	1	100000	0.3241835640916578	1
S66	1	1	100000	-0.05031914733777887	1
S67	1	1	100000	0.6684375417007304	1
S68	1	1	100000	0.40007880529412454	1
S69	1	1	100000	-0.3213346248215485	1
S70	1	1	100000	-0.14455299691248857	1
S71	1	1	100000	1.8312138820016473	1
S72	1	1	100000	0.5042836856628752	1
S73	1	1	100000	-0.471843312406391	1
S74	1	1	100000	0.2561621705401108	1
S75	1	1	100000	-0.15156283334034426	1
S76	1	1	100000	1.6921042339955052	1
S77	1	1	100000	1.4325358169291385	1
S78	1	1	100000	0.853247782207741	1
S79	1	1	100000	0.6331838524195916	1
S80	1	1	100000	0.9800021503229481	1
S81	1	1	100000	-0.9535805888422286	1
S82	1	1	100000	-0.241692796261209	1
S83	1	1	100000	0.6118632004773032	1
S84	1	1	100000	1.330490723439284	1
S85	1	1	100000	2.463302412565076	1
S86	1	1	100000	0.9624996729655926	1
S87	1	1	100000	2.313906286047799	1
S88	1	1	100000	1.2154046234178002	1
S89	1	1	100000	0.7885016952882427	1
S90	1	1	100000	1.203813396204439	1
S91	1	1	100000	1.2899823689375736	1
S92	1	1	100000	0.46695977379592646	1
S93	1	1	100000	1.2086085799743942	1
S94	1	1	100000	0.16472929451693896	1
S95	1	1	100000	1.2032115720701557	1
S96	1	1	100000	0.7982989154707032	1
S97	1	1	100000	0.8358434192127555	1
S98	1	1	100000	1.4196857356415398	1
S99	1	1	100000	1.9844788664712696	1
