	labels	effect_size	microbe_total	class_logits	intercept
S0	-1	1	100000	-1.0717168097597802	1
S1	-1	1	100000	-1.3251288189133308	1
S2	-1	1	100000	-1.4005290681640743	1
S3	-1	1	100000	-1.4324497250761818	1
S4	-1	1	100000	-0.17629286016170786	1
S5	-1	1	100000	-1.388171897605946	1
S6	-1	1	100000	-0.19685288589310634	1
S7	-1	1	100000	-0.9646756220270686	1
S8	-1	1	100000	-2.122949795241958	1
S9	-1	1	100000	-1.0592936303455083	1
S10	-1	1	100000	-0.6554945545896096	1
S11	-1	1	100000	-2.1469409000071473	1
S12	-1	1	100000	-1.6652575014119972	1
S13	-1	1	100000	-1.1562744328580694	1
S14	-1	1	100000	-1.6187268444415581	1
S15	-1	1	100000	-0.8849668481066313	1
S16	-1	1	100000	0.11848992076892961	1
S17	-1	1	100000	0.5417729121158914	1
S18	-1	1	100000	-1.8894425479097543	1
S19	-1	1	100000	-0.3662785865893373	1
S20	-1	1	100000	-0.5426114951225236	1
S21	-1	1	100000	-0.24392540307873756	1
S22	-1	1	100000	-1.301161508311192	1
S23	-1	1	100000	-1.5196833731535264	1
S24	-1	1	100000	-1.0000894683001682	1
S25	-1	1	100000	-1.4467506219963386	1
S26	-1	1	100000	-1.2393182036618968	1
S27	-1	1	100000	-0.17411272698512648	1
S28	-1	1	100000	-1.8491064307678715	1
S29	-1	1	100000	-0.5191176574856156	1
S30	-1	1	100000	-0.4878744254352353	1
S31	-1	1	100000	0.001115987031095278	1
S32	-1	1	100000	-0.051150445294154134	1
S33	-1	1	100000	-1.738763046468803	1
S34	-1	1	100000	-0.15533215076080087	1
S35	-1	1	100000	0.1455976079729322	1
S36	-1	1	100000	-1.5687221162429235	1
S37	-1	1	100000	-1.8813723925699284	1
S38	-1	1	100000	-1.5087019413346308	1
S39	-1	1	100000	-0.6147948342333642	1
S40	-1	1	100000	-0.47402848582208135	1
S41	-1	1	100000	-1.853743560604037	1
S42	-1	1	100000	-1.790637296218497	1
S43	-1	1	100000	-2.2018111335152755	1
S44	-1	1	100000	-0.1525082097159438	1
S45	-1	1	100000	0.8013876949895176	1
S46	-1	1	100000	-4.033233507259564	1
S47	-1	1	100000	-1.748997811992803	1
S48	-1	1	100000	-0.593500341446749	1
S49	-1	1	100000	-1.0669294129522047	1
S50	1	1	100000	-0.1224750833032966	1
S51	1	1	100000	1.5313497263794278	1
S52	1	1	100000	0.8706160469518882	1
S53	1	1	100000	1.2462572296055563	1
S54	1	1	100000	1.1470560129439993	1
S55	1	1	100000	1.657289196884634	1
S56	1	1	100000	1.050255342621369	1
S57	1	1	100000	0.5311882385474428	1
S58	1	1	100000	0.8162356296990187	1
S59	1	1	100000	0.24226403107515115	1
S60	1	1	100000	-0.17044441514819164	1
S61	1	1	100000	1.2685502214742366	1
S62	1	1	100000	1.320070079153147	1
S63	1	1	100000	2.0148697284583164	1
S64	1	1	100000	-0.42270293769929945	1
S65	1	1	100000	1.517181229130116	1
S66	1	1	100000	3.0252122660679888	1
S67	1	1	100000	1.7936967679330518	1
S68	1	1	100000	2.006483299910614	1
S69	1	1	100000	3.141868170527592	1
S70	1	1	100000	2.385270873219685	1
S71	1	1	100000	1.2707815910786884	1
S72	1	1	100000	0.8689047688204314	1
S73	1	1	100000	1.7985074664934746	1
S74	1	1	100000	0.6190994421099865	1
S75	1	1	100000	0.7454247672146683	1
S76	1	1	100000	0.5752431617564169	1
S77	1	1	100000	1.3187849047852	1
S78	1	1	100000	0.8078797477803311	1
S79	1	1	100000	0.6328116996963915	1
S80	1	1	100000	0.6756227136669852	1
S81	1	1	100000	0.7857953394207328	1
S82	1	1	100000	0.9103406310443967	1
S83	1	1	100000	0.5946020323627614	1
S84	1	1	100000	0.991787563442296	1
S85	1	1	100000	3.073150498979685	1
S86	1	1	100000	0.6821279616049765	1
S87	1	1	100000	2.46051271620298	1
S88	1	1	100000	0.31982156295251896	1
S89	1	1	100000	0.860491748351425	1
S90	1	1	100000	1.4665166575018334	1
S91	1	1	100000	-0.07920571606146631	1
S92	1	1	100000	1.1482286227506031	1
S93	1	1	100000	1.289798962484871	1
S94	1	1	100000	1.1965078208757645	1
S95	1	1	100000	2.7406651971676768	1
S96	1	1	100000	0.7909562953063355	1
S97	1	1	100000	1.1891242863858722	1
S98	1	1	100000	1.5209811530792612	1
S99	1	1	100000	-0.2094421998702054	1
